alloy_id,phase_class,YS_MPa,UTS_MPa,elong_%,hardness_value,hardness_scale,test_temp_K,strain_rate_s-1
Ti_13Nb_13Zr,beta,,,,,,,
Ti_20Nb_10Zr_5Ta,beta,,,,,,,
Ti_29Nb_13Ta_4.6Zr,metastable-beta,,,,,,,
Ti_15V_3Cr_3Al_3Sn,metastable-beta,770,790,22,95,Rockwell B,298,
Ti_15Mo_3Al_3Nb_0.2Si,metastable-beta,,,,,,, 
TC11_950C,alpha+beta,not reported,1095,11.8,not reported,not reported,298,not reported
TC11_1000C,alpha+beta,not reported,1104,8.4,not reported,not reported,298,not reported
Ti-6Al-4V_b,alpha+beta,915,965,19,not reported,not reported,298,8e-4
Ti-6Al-4V_ELI,alpha+beta,795–875,860–965,10–15,not reported,not reported,298,not reported
Ti-6Al-4V_c,alpha+beta,825–869,895–930,6–10,not reported,not reported,298,not reported
Ti-6Al-7Nb,alpha+beta,880–950,900–1050,8.1–15,not reported,not reported,298,not reported
Ti-5Al-2.5Fe,alpha+beta,895,1020,35,not reported,not reported,298,not reported
Ti-13Nb-13Zr,beta,836–908,973–1037,10–16,not reported,not reported,298,not reported
Ti-15Mo,beta,544,874,82,not reported,not reported,298,not reported
Ti-15Mo-5Zr-3Al,beta,838–1060,852–1100,18–25,not reported,not reported,298,not reported
Ti-35.3Nb-5.1Ta-7.1Zr,beta,547.1,596.7,19.0,not reported,not reported,298,not reported
Ti-29Nb-13Ta-4.6Zr,beta,809,864,13.2,not reported,not reported,298,not reported
Ti6242_syn01,Near-alpha,910,990,13.5,,,293,
Ti6242_syn02,Near-alpha,940,1020,12.5,,,293,
Ti6242_syn03,Near-alpha,980,1050,11.5,,,293,
Ti6242_syn04,Near-alpha,1020,1085,10.5,,,293,
Ti6242_syn05,Near-alpha,1080,1150,9.2,,,293,
Ti6242_syn06,alpha-p,880,960,14.0,,,293,
Ti6242_syn07,alpha-p,1040,1120,9.8,,,293,
Ti6242_syn08,alpha-p,1180,1260,8.0,,,293,

NearAlpha_syn01,Near-alpha,930,1010,14.0,,,293,
NearAlpha_syn02,Near-alpha,970,1050,12.5,,,293,
NearAlpha_syn03,Near-alpha,1010,1090,11.2,,,293,
NearAlpha_syn04,Near-alpha,1080,1160,9.5,,,293,
NearAlpha_syn05,Near-alpha,960,1040,13.8,,,293,
NearAlpha_syn06,Near-alpha,900,980,15.5,,,293,

Beta_syn01,beta,600,760,32,,,293,
Beta_syn02,beta,650,800,30,,,293,
Beta_syn03,beta,700,840,28,,,293,

Beta_syn04,metastable-beta,820,930,22,,,293,
Beta_syn05,metastable-beta,900,1000,18,,,293,
Beta_syn06,metastable-beta,980,1080,15,,,293,

Beta_syn07,metastable-beta,1050,1140,12,,,293,
Beta_syn08,metastable-beta,1120,1200,10,,,293,
Beta_syn09,metastable-beta,1180,1260,8,,,293,
AM_syn01,alpha+beta,980,1060,9.5,,,293,
AM_syn02,alpha+beta,1020,1100,8.8,,,293,
AM_syn03,alpha+beta,1050,1130,8.0,,,293,
AM_syn04,alpha+beta,920,1000,14.5,,,293,
AM_syn05,alpha+beta,1080,1160,7.5,,,293,
AM_syn06,alpha+beta,950,1030,12.0,,,293,

alloy_id,phase_class,YS_MPa,UTS_MPa,elong_%,hardness_value,hardness_scale,test_temp_K,strain_rate_s-1
Ti6A4V_Plex_92560AC,alpha,1082,1156,9.8,,,293,not reported
Ti6A4V_Plex_95530WQ,alpha,1124,1198,8.2,,,293,not reported
Ti6A4V_Plex_980120AC_520300AC,alpha,1345,1412,6.9,,,293,not reported
Ti542_Plex_91060WQ,alpha,892,918,21.4,,,293,not reported
Ti542_Plex_91060WQ_485240AC,alpha,1247,1365,9.3,,,293,not reported
Ti5553_AM700,alpha,948,1062,17.8,,,293,not reported
Ti5553_AM750,alpha,1093,1167,9.1,,,293,not reported
TC5M5V4_Plex_830120AC,alpha,1168,1192,14.2,,,293,not reported
TC5M5V4_Plex_830120AC_550720AC,alpha,1226,1274,8.7,,,293,not reported
TC5M5V4_Plex_830120AC_480720AC,alpha,1372,1441,5.8,,,293,not reported
Ti6242_Plex_SPS,alpha-p,885,992,12.1,,,293,not reported
Ti6242_Plex_SPS75,alpha-p,1192,1285,7.9,,,293,not reported
Ti13Nb13Zr_Plex_ST,beta,,,,,,,
Ti20Nb10Zr5Ta_Plex_ST,beta,,,,,,,
Ti29Nb13Ta4Zr_Plex_ST,metastable-beta,,,,,,,
Ti15Mo3Nb_Plex_ST,metastable-beta,,,,,,,
Ti15V3Cr3Al3Sn_Plex_SA,metastable-beta,785,812,19.8,98,HRB,298,not reported
Ti1100_Plex_HT,Near-alpha,935,1015,11.2,,,293,not reported
BT36_Plex_FHT,Near-alpha,962,1048,9.5,,,293,not reported
IMI834_Plex_1298120HT,Near-alpha,948,1032,12.4,,,293,not reported
Ti60_Plex_BM,Near-alpha,958,1018,16.8,,,293,not reported
Ti60_Plex_873HT,Near-alpha,572,692,18.3,,,873,not reported
Ti64_TiC10_Plex,Composite,,,,"920-1080",HV,293,
Ti64_TiB15_Plex,Composite,,,,68,HRC,293,
Ti64_SiC12_Plex,Composite,,,,465,HV,293,
Ti64_CNT2_Plex,Composite,,,,385,HV,293,
Ti6A2Zr1Mo1V_La2O3_Plex,Composite,,,,415,HV,293,
NearAlpha_Y2O3_Plex,Composite,,,,428,HV,293,
Ti6A4V_Plex_94060AC,alpha,1056,1134,10.3,,,293,not reported
Ti6A4V_Plex_975240FC,alpha,1098,1205,8.9,,,293,not reported
Ti6A4V_Plex_920120WQ_535300AC,alpha,1287,1352,7.4,,,293,not reported
Ti542_Plex_87560AC,alpha-p,912,1028,20.6,,,293,not reported
Ti5553_Plex_650300AC,alpha,932,1048,18.2,,,293,not reported
TC11_Plex_95060WQ,alpha+beta,"not reported",1085,12.3,,,298,not reported
TC11_Plex_95060WQ_510240AC,alpha+beta,"not reported",1123,9.8,,,298,not reported
Ti6242_Plex_SPS25,alpha-p,895,1002,13.5,,,293,not reported
Ti13Nb13Zr_Plex_STA,beta,845,982,14.2,,,298,not reported
Ti15Mo3Al3Nb_Plex,metastable-beta,832,895,16.8,,,298,not reported
Ti6A4V_Plex_AR2,alpha+beta,892,962,15.4,,,293,not reported
Ti6A4V_Plex_98530AC,alpha,1142,1217,9.6,,,293,not reported
Ti6A4V_Plex_945120WQ,alpha,1318,1389,6.7,,,293,not reported
Ti542_Plex_93060AC_495240AC,alpha,1265,1392,8.9,,,293,not reported
Ti5553_Plex_725240FC,alpha,1078,1156,9.4,,,293,not reported
TC11_Plex_975120AC,alpha+beta,925,988,13.7,,,298,not reported
TC11_Plex_975120AC_525720AC,alpha+beta,1187,1245,7.2,,,298,not reported
Ti6242_Plex_SPS50,alpha-p,908,1015,12.8,,,293,not reported
Ti20Nb10Zr5Ta_Plex_STA,beta,856,992,15.6,,,298,not reported
Ti29Nb13Ta4Zr_Plex_STA,beta,825,882,14.3,,,298,not reported
Ti15V3Cr3Al3Sn_Plex_ST,metastable-beta,762,798,21.2,,,298,not reported
Ti1100_Plex_AR,Near-alpha,922,998,11.8,,,293,not reported
BT36_Plex_AR,Near-alpha,955,1035,10.2,,,293,not reported
IMI834_Plex_AR,Near-alpha,942,1018,12.9,,,293,not reported
Ti60_Plex_AR,Near-alpha,951,1008,17.4,,,293,not reported
Ti64_TiC5_Plex,Composite,,,,"875-1050",HV,293,
Ti64_TiB10_Plex,Composite,,,,62,HRC,293,
Ti64_SiC15_Plex,Composite,,,,485,HV,293,
Ti64_CNT1_Plex,Composite,,,,372,HV,293,
Ti6A2Zr1Mo1V_La2O3_Plex2,Composite,,,,408,HV,293,
NearAlpha_Y2O3_Plex2,Composite,,,,435,HV,293,
Ti6A4V_Plex_91560WQ,alpha,1025,1098,11.2,,,293,not reported
Ti6A4V_Plex_960240AC,alpha,1112,1189,9.1,,,293,not reported
Ti542_Plex_895120FC,alpha-p,885,975,22.1,,,293,not reported
alloy_id,phase_class,YS_MPa,UTS_MPa,elong_%,hardness_value,hardness_scale,test_temp_K,strain_rate_s-1
T6A4V_90030WQ_Gem,alpha,1015,1120,9.5,340,HV,298,0.001
T6A4V_90060AC_Gem,alpha,945,1030,13.2,325,HV,298,0.001
T6A4V_980120FC_Gem,alpha,890,985,15.8,310,HV,298,0.001
T6A4VO_94060WQ_560240AC_Gem,alpha,1280,1365,8.1,385,HV,298,0.001
T6M5V3A2F_85045WQ_Gem,alpha,1150,1240,10.5,360,HV,298,0.001
Ti6242_95060AC_Gem,alpha,980,1060,11.8,345,HV,298,0.001
T6A4V_80030WQ_Gem,alpha,920,1010,14.5,315,HV,298,0.001
T6A4V_85060AC_Gem,alpha,910,995,15.2,305,HV,298,0.001
T6A4V_105030WQ_Gem,alpha,1150,1280,6.2,390,HV,298,0.001
T6A4V_105060FC_Gem,alpha,840,930,18.2,290,HV,298,0.001
T6A4VO_900120AC_Gem,alpha,1110,1215,10.4,355,HV,298,0.001
Ti6242_117360AC_Gem,alpha,965,1040,12.5,330,HV,298,0.001
Ti6242_873120AC_Gem,alpha,930,1005,14.0,320,HV,298,0.001
BT36_120030AC_Gem,alpha,1080,1190,9.8,365,HV,298,0.001
T6A4V_75060AC_Gem,alpha,880,970,16.5,295,HV,298,0.001
T6A4V_750120FC_Gem,alpha,860,950,17.8,285,HV,298,0.001
T6A4V_92045WQ_Gem,alpha,1040,1145,10.1,345,HV,298,0.001
T6A4V_92060AC_Gem,alpha,955,1045,12.9,328,HV,298,0.001
T6A4V_100030WQ_Gem,alpha,1120,1240,7.5,380,HV,298,0.001
T6A4V_100060AC_Gem,alpha,985,1085,11.5,340,HV,298,0.001
T6A4VO_91030WQ_Gem,alpha,1180,1295,9.0,375,HV,298,0.001
T6A4VO_91060AC_Gem,alpha,1090,1195,11.2,350,HV,298,0.001
T6A4VO_960120FC_Gem,alpha,1020,1130,13.5,325,HV,298,0.001
Ti6242_90060WQ_Gem,alpha,1030,1120,10.8,355,HV,298,0.001
Ti6242_900120AC_Gem,alpha,940,1025,13.8,325,HV,298,0.001
Ti6242_105060AC_Gem,alpha,995,1080,11.2,348,HV,298,0.001
Ti6242_1050120FC_Gem,alpha,920,1005,15.1,315,HV,298,0.001
T6M5V3A2F_80060AC_Gem,alpha,1080,1175,12.1,345,HV,298,0.001
T6M5V3A2F_800120FC_Gem,alpha,1010,1115,14.4,325,HV,298,0.001
T6M5V3A2F_90030WQ_Gem,alpha,1190,1290,8.8,375,HV,298,0.001
T6M5V3A2F_90060AC_Gem,alpha,1115,1210,10.9,355,HV,298,0.001
BT36_110060AC_Gem,alpha,1045,1150,11.0,355,HV,298,0.001
BT36_1100120FC_Gem,alpha,980,1090,13.2,335,HV,298,0.001
BT36_125030WQ_Gem,alpha,1220,1340,6.5,405,HV,298,0.001
T6A4V_82530WQ_Gem,alpha,960,1055,13.5,325,HV,298,0.001
T6A4V_82560AC_Gem,alpha,925,1015,14.8,312,HV,298,0.001
T6A4V_825120FC_Gem,alpha,895,985,16.2,298,HV,298,0.001
T6A4V_95030WQ_Gem,alpha,1085,1195,8.8,365,HV,298,0.001
T6A4V_95060AC_Gem,alpha,975,1070,12.2,335,HV,298,0.001
T6A4V_950120FC_Gem,alpha,915,1010,14.8,318,HV,298,0.001
T6A4VO_93030WQ_Gem,alpha,1220,1335,8.2,390,HV,298,0.001
T6A4VO_93060AC_Gem,alpha,1130,1245,10.0,365,HV,298,0.001
T6A4VO_980120AC_Gem,alpha,1075,1185,12.1,345,HV,298,0.001
Ti6242_92560WQ_Gem,alpha,1060,1165,10.2,365,HV,298,0.001
Ti6242_925120AC_Gem,alpha,965,1060,13.1,335,HV,298,0.001
Ti6242_97560AC_Gem,alpha,1010,1105,10.8,355,HV,298,0.001
Ti6242_975120FC_Gem,alpha,935,1035,14.5,325,HV,298,0.001
T6M5V3A2F_82560AC_Gem,alpha,1105,1205,11.5,352,HV,298,0.001
T6M5V3A2F_825120FC_Gem,alpha,1035,1145,13.8,332,HV,298,0.001
T6M5V3A2F_87530WQ_Gem,alpha,1165,1265,9.5,368,HV,298,0.001
T6M5V3A2F_87560AC_Gem,alpha,1095,1190,11.8,348,HV,298,0.001
BT36_115060AC_Gem,alpha,1065,1175,10.4,360,HV,298,0.001
BT36_1150120FC_Gem,alpha,995,1110,12.8,342,HV,298,0.001
Ti55511_112045WQ_Gem,alpha,1210,1320,7.5,410,HV,298,0.001
Ti55511_105060AC_Gem,alpha,1080,1185,11.2,365,HV,298,0.001
Ti55511_1050120FC_Gem,alpha,990,1095,14.4,335,HV,298,0.001
T2C4Z5A_90060AC_Gem,alpha,1050,1140,12.5,345,HV,298,0.001
T2C4Z5A_900120FC_Gem,alpha,980,1075,15.2,320,HV,298,0.001
Ti_13Nb_13Zr_80060AC_Gem,alpha,820,910,18.5,275,HV,298,0.001
Ti_13Nb_13Zr_800120FC_Gem,alpha,760,855,21.0,255,HV,298,0.001
